packet_id,packet_duration,second_frame,src_ip,dest_ip,protocol,length,info,target
PI_705191,0.0539999999999736,SF_377961,fe80::212:741a:1a:1a1a,ff02::1a,ICMPv6,97,RPL Control (DODAG Information Object),0
PI_278270,0.0090000000000145,SF_909423,fe80::212:7444:44:4444,fe80::212:742b:2b:2b2b,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_332601,0.0009999999999763,SF_893720,fe80::212:7426:26:2626,fe80::212:7424:24:2424,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_277398,0.0060000000000854,SF_455474,fe80::212:7404:4:404,fe80::212:744c:4c:4c4c,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_772709,0.0059999999998581,SF_709040,fe80::212:743a:3a:3a3a,fe80::212:7408:8:808,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_291012,0.0059999999999718,SF_556102,fe80::212:7456:56:5656,fe80::212:7434:34:3434,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_435674,0.0,SF_922138,fe80::212:7421:21:2121,fe80::212:7413:13:1313,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_739629,0.0090000000000145,SF_271003,fe80::212:7459:59:5959,fe80::212:7456:56:5656,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_703623,0.0060000000000854,SF_892404,,,IEEE 802.15.4,5,Ack,1
PI_594509,0.0010000000000331,SF_535643,fe80::212:7417:17:1717,fe80::212:7438:38:3838,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_424767,0.0010000000000047,SF_612703,fe80::212:741f:1f:1f1f,fe80::212:742d:2d:2d2d,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_785852,0.054000000000002,SF_678719,fe80::212:744c:4c:4c4c,fe80::212:7421:21:2121,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_306823,0.0090000000000145,SF_220045,fe80::212:7447:47:4747,fe80::212:741b:1b:1b1b,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_936852,0.0090000000000145,SF_835588,fe80::212:7417:17:1717,fe80::212:741c:1c:1c1c,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_198723,0.0010000000000047,SF_788423,fe80::212:7417:17:1717,fe80::212:740f:f:f0f,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_589987,0.52800000000002,SF_295346,fe80::212:7424:24:2424,fe80::212:7436:36:3636,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_331408,0.0,SF_524363,fe80::212:744a:4a:4a4a,fe80::212:743e:3e:3e3e,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_491180,0.0049999999999954,SF_955267,fe80::212:7430:30:3030,fe80::212:7431:31:3131,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_904402,0.0060000000003128,SF_102998,fe80::212:743e:3e:3e3e,fe80::212:7448:48:4848,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_852254,0.0010000000000331,SF_580263,fe80::212:740e:e:e0e,fe80::212:7411:11:1111,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_938628,0.0080000000000381,SF_724434,2002:db8::212:7417:17:1717,2002:db8::ff:fe00:1,UDP,68,Source port: ultraseek-http  Destination port: rrac,0
PI_981506,0.0020000000000095,SF_655568,fe80::212:7424:24:2424,fe80::212:7412:12:1212,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_540187,0.1829999999999927,SF_136764,fe80::212:7449:49:4949,fe80::212:7403:3:303,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_894077,0.0070000000000618,SF_426722,fe80::212:743e:3e:3e3e,fe80::212:7425:25:2525,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_297478,0.0049999999999954,SF_136079,fe80::212:7421:21:2121,ff02::1a,ICMPv6,97,RPL Control (DODAG Information Object),1
PI_792494,0.0400000000000204,SF_791703,fe80::212:7435:35:3535,fe80::212:7459:59:5959,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_435415,0.7989999999999782,SF_577781,fe80::212:7429:29:2929,fe80::212:742b:2b:2b2b,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_469738,0.0060000000000854,SF_884689,fe80::212:743c:3c:3c3c,ff02::1a,ICMPv6,97,RPL Control (DODAG Information Object),1
PI_413392,0.0009999999999763,SF_640856,fe80::212:7402:2:202,fe80::212:7413:13:1313,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_303623,0.0080000000000381,SF_689413,fe80::212:741f:1f:1f1f,fe80::212:7434:34:3434,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_735329,0.0029999999999859,SF_179134,2002:db8::212:742e:2e:2e2e,2002:db8::ff:fe00:1,UDP,68,Source port: ultraseek-http  Destination port: rrac,1
PI_784765,0.0030000000000427,SF_579742,fe80::212:744c:4c:4c4c,fe80::212:7434:34:3434,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_745836,0.0080000000000381,SF_805315,2002:db8::212:7426:26:2626,2002:db8::ff:fe00:1,UDP,68,Source port: ultraseek-http  Destination port: rrac,0
PI_753761,0.0070000000000618,SF_733778,fe80::212:7432:32:3232,ff02::1a,ICMPv6,97,RPL Control (DODAG Information Object),0
PI_250575,0.0030000000000427,SF_892332,fe80::212:740d:d:d0d,fe80::212:741f:1f:1f1f,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_861401,0.004000000000019,SF_716139,2002:db8::212:7423:23:2323,2002:db8::ff:fe00:1,UDP,68,Source port: ultraseek-http  Destination port: rrac,1
PI_253412,0.0420000000000015,SF_787477,fe80::212:7416:16:1616,fe80::212:7418:18:1818,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_473839,0.0009999999999763,SF_909229,fe80::212:7445:45:4545,fe80::212:7431:31:3131,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_427359,0.0009999999999763,SF_298511,fe80::212:7408:8:808,fe80::212:743b:3b:3b3b,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_889703,0.0960000000000036,SF_419115,fe80::212:7441:41:4141,fe80::212:7448:48:4848,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_934089,0.0009999999999763,SF_428274,fe80::212:741d:1d:1d1d,fe80::212:742b:2b:2b2b,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_627340,0.0010000000000047,SF_178488,fe80::212:743d:3d:3d3d,fe80::212:743f:3f:3f3f,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_211195,0.0,SF_493258,fe80::212:7420:20:2020,fe80::212:7427:27:2727,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_160107,0.0020000000000095,SF_691346,fe80::212:7414:14:1414,fe80::212:741a:1a:1a1a,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_213688,0.0030000000000427,SF_792456,2002:db8::212:742e:2e:2e2e,2002:db8::ff:fe00:1,UDP,68,Source port: ultraseek-http  Destination port: rrac,1
PI_915518,0.4080000000001291,SF_379548,fe80::212:742b:2b:2b2b,fe80::212:7401:1:101,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_285550,0.0049999999999954,SF_174491,fe80::212:7404:4:404,fe80::212:7402:2:202,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_538716,0.0,SF_835922,fe80::212:7444:44:4444,fe80::212:7424:24:2424,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_670179,0.0080000000000381,SF_658031,2002:db8::212:7455:55:5555,2002:db8::ff:fe00:1,UDP,68,Source port: ultraseek-http  Destination port: rrac,0
PI_660113,0.0009999999999763,SF_224750,fe80::212:7429:29:2929,fe80::212:7439:39:3939,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_508883,0.0090000000000145,SF_738451,fe80::212:7420:20:2020,fe80::212:7454:54:5454,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_393052,0.0049999999999954,SF_617951,fe80::212:7411:11:1111,fe80::212:740e:e:e0e,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_475855,0.0059999999998581,SF_726551,2002:db8::212:7450:50:5050,2002:db8::ff:fe00:1,UDP,68,Source port: ultraseek-http  Destination port: rrac,0
PI_159949,0.0009999999999763,SF_936103,fe80::212:7453:53:5353,fe80::212:740d:d:d0d,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_349975,0.0060000000000854,SF_839319,fe80::212:7433:33:3333,fe80::212:7411:11:1111,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_811423,0.0049999999999954,SF_771866,fe80::212:740a:a:a0a,fe80::212:7428:28:2828,ICMPv6,102,RPL Control (DODAG Information Object),1
PI_778797,0.0070000000000618,SF_802661,fe80::212:7428:28:2828,ff02::1a,ICMPv6,97,RPL Control (DODAG Information Object),0
PI_974290,0.0019999999999527,SF_380398,fe80::212:7432:32:3232,fe80::212:7436:36:3636,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_452624,0.0079999999998108,SF_107131,fe80::212:743e:3e:3e3e,fe80::212:7425:25:2525,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_320422,0.0080000000000381,SF_605527,2002:db8::212:7428:28:2828,2002:db8::ff:fe00:1,UDP,68,Source port: ultraseek-http  Destination port: rrac,0
PI_539358,0.0049999999999954,SF_198991,fe80::212:7421:21:2121,ff02::1a,ICMPv6,97,RPL Control (DODAG Information Object),1
PI_193848,0.0010000000000047,SF_389741,fe80::212:7420:20:2020,ff02::1a,ICMPv6,97,RPL Control (DODAG Information Object),1
PI_571256,0.0010000000000331,SF_694935,fe80::212:7420:20:2020,fe80::212:741f:1f:1f1f,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_990677,0.004000000000019,SF_106220,fe80::212:7408:8:808,ff02::1a,ICMPv6,97,RPL Control (DODAG Information Object),1
PI_601994,0.0009999999999763,SF_476783,fe80::212:7440:40:4040,fe80::212:742d:2d:2d2d,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_761259,0.0020000000000663,SF_476783,fe80::212:740d:d:d0d,fe80::212:7432:32:3232,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_141516,0.0090000000000145,SF_593985,fe80::212:7420:20:2020,fe80::212:7454:54:5454,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_282047,0.0009999999999763,SF_879440,fe80::212:7454:54:5454,fe80::212:744c:4c:4c4c,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_121584,0.0010000000000047,SF_846478,fe80::212:7437:37:3737,fe80::212:7401:1:101,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_824188,0.0009999999999763,SF_354164,fe80::212:7410:10:1010,fe80::212:7417:17:1717,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_530294,0.0080000000000381,SF_529498,fe80::212:7415:15:1515,fe80::212:7449:49:4949,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_985421,0.0009999999999763,SF_294444,fe80::212:7420:20:2020,fe80::212:741f:1f:1f1f,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_323626,0.0090000000000145,SF_175348,2002:db8::212:7438:38:3838,2002:db8::ff:fe00:1,UDP,68,Source port: ultraseek-http  Destination port: rrac,0
PI_576684,0.5970000000002074,SF_281172,2002:db8::212:7429:29:2929,2002:db8::ff:fe00:1,UDP,68,Source port: ultraseek-http  Destination port: rrac,0
PI_694486,0.0020000000000095,SF_184946,fe80::212:7450:50:5050,fe80::212:741e:1e:1e1e,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_582450,0.0019999999999527,SF_967186,fe80::212:742a:2a:2a2a,fe80::212:7436:36:3636,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_310097,0.0010000000000331,SF_148061,fe80::212:7414:14:1414,fe80::212:7437:37:3737,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_889948,0.1640000000000157,SF_674662,fe80::212:7450:50:5050,fe80::212:741e:1e:1e1e,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_192601,0.0830000000000268,SF_573514,fe80::212:7437:37:3737,fe80::212:743a:3a:3a3a,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_970343,0.0090000000000145,SF_939894,fe80::212:7428:28:2828,ff02::1a,ICMPv6,97,RPL Control (DODAG Information Object),0
PI_315400,0.0760000000000218,SF_896116,fe80::212:7410:10:1010,fe80::212:7417:17:1717,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_385199,0.0080000000002655,SF_417857,fe80::212:7452:52:5252,fe80::212:741b:1b:1b1b,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_278130,0.0019999999999527,SF_326941,fe80::212:741c:1c:1c1c,fe80::212:7432:32:3232,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_789556,0.0009999999999763,SF_456455,fe80::212:741e:1e:1e1e,fe80::212:741f:1f:1f1f,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_680074,0.1829999999999927,SF_474160,fe80::212:743a:3a:3a3a,fe80::212:7408:8:808,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_863274,0.7280000000000655,SF_827362,fe80::212:744d:4d:4d4d,fe80::212:7435:35:3535,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_143262,0.0050000000001091,SF_569896,2002:db8::212:740a:a:a0a,2002:db8::ff:fe00:1,UDP,68,Source port: ultraseek-http  Destination port: rrac,0
PI_472454,0.0,SF_594285,fe80::212:7456:56:5656,fe80::212:742b:2b:2b2b,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_146250,0.0059999999999718,SF_443243,2002:db8::212:743a:3a:3a3a,2002:db8::ff:fe00:1,UDP,68,Source port: ultraseek-http  Destination port: rrac,1
PI_866334,0.7409999999999854,SF_926599,fe80::212:7403:3:303,fe80::212:743e:3e:3e3e,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_351351,0.0010000000000331,SF_580263,fe80::212:7438:38:3838,fe80::212:742d:2d:2d2d,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_203565,0.0009999999999763,SF_805322,fe80::212:7439:39:3939,fe80::212:7444:44:4444,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_948182,0.0020000000000095,SF_265529,fe80::212:7438:38:3838,ff02::1a,ICMPv6,97,RPL Control (DODAG Information Object),0
PI_281789,0.0010000000000047,SF_626041,fe80::212:744e:4e:4e4e,fe80::212:7437:37:3737,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_129048,0.1709999999999354,SF_246004,fe80::212:7415:15:1515,fe80::212:7435:35:3535,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_548330,0.0020000000000095,SF_896116,fe80::212:741a:1a:1a1a,fe80::212:743a:3a:3a3a,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_168431,0.0879999999999654,SF_543092,fe80::212:7415:15:1515,fe80::212:7410:10:1010,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_857496,0.0070000000000618,SF_104486,fe80::212:7422:22:2222,fe80::212:742f:2f:2f2f,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_956690,0.0049999999999954,SF_535926,fe80::212:742a:2a:2a2a,fe80::212:7451:51:5151,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_435500,0.0090000000000145,SF_412518,fe80::212:7415:15:1515,fe80::212:7449:49:4949,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_532315,0.066999999999993,SF_745391,fe80::212:7419:19:1919,ff02::1a,ICMPv6,97,RPL Control (DODAG Information Object),1
PI_377785,0.3769999999999527,SF_811070,2002:db8::212:743c:3c:3c3c,2002:db8::ff:fe00:1,UDP,68,Source port: ultraseek-http  Destination port: rrac,1
PI_289327,0.0049999999999954,SF_499178,fe80::212:7441:41:4141,fe80::212:7401:1:101,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_464692,0.7510000000002037,SF_976650,2002:db8::212:7426:26:2626,2002:db8::ff:fe00:1,UDP,68,Source port: ultraseek-http  Destination port: rrac,0
PI_962755,0.0759999999999934,SF_486720,fe80::212:743d:3d:3d3d,fe80::212:7410:10:1010,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_453791,0.0010000000000047,SF_887567,fe80::212:7405:5:505,fe80::212:7402:2:202,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_409732,0.0019999999999953,SF_702565,fe80::212:740d:d:d0d,fe80::212:743f:3f:3f3f,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_291812,0.0009999999999763,SF_826764,fe80::212:741f:1f:1f1f,ff02::1a,ICMPv6,97,RPL Control (DODAG Information Object),0
PI_236917,0.0019999999999527,SF_862129,2002:db8::212:7418:18:1818,2002:db8::ff:fe00:1,UDP,68,Source port: ultraseek-http  Destination port: rrac,1
PI_621819,0.0059999999998581,SF_639491,fe80::212:7420:20:2020,fe80::212:7454:54:5454,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_857847,0.00100000000009,SF_566935,fe80::212:7416:16:1616,ff02::1a,ICMPv6,97,RPL Control (DODAG Information Object),0
PI_902207,0.0010000000000331,SF_916570,fe80::212:745a:5a:5a5a,fe80::212:7448:48:4848,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_147645,0.3339999999998326,SF_748869,fe80::212:743c:3c:3c3c,fe80::212:7441:41:4141,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_523345,0.6290000000001328,SF_873358,fe80::212:7425:25:2525,fe80::212:741f:1f:1f1f,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_636498,0.0070000000000618,SF_980756,2002:db8::212:7450:50:5050,2002:db8::ff:fe00:1,UDP,68,Source port: ultraseek-http  Destination port: rrac,0
PI_629321,0.4220000000000254,SF_862199,2002:db8::212:7429:29:2929,2002:db8::ff:fe00:1,UDP,68,Source port: ultraseek-http  Destination port: rrac,1
PI_167411,0.0020000000000095,SF_625982,fe80::212:7403:3:303,fe80::212:7421:21:2121,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_427073,0.0020000000000095,SF_667730,fe80::212:740e:e:e0e,fe80::212:7413:13:1313,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_725210,0.004000000000019,SF_688310,2002:db8::212:7416:16:1616,2002:db8::ff:fe00:1,UDP,68,Source port: ultraseek-http  Destination port: rrac,1
PI_150013,0.4399999999998272,SF_702051,fe80::212:7431:31:3131,fe80::212:7437:37:3737,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_693397,0.0030000000000427,SF_672618,fe80::212:7422:22:2222,fe80::212:7453:53:5353,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_547154,0.004000000000019,SF_941252,2002:db8::212:7456:56:5656,2002:db8::ff:fe00:1,UDP,68,Source port: ultraseek-http  Destination port: rrac,0
PI_471087,0.0009999999999763,SF_672618,fe80::212:7418:18:1818,ff02::1a,ICMPv6,97,RPL Control (DODAG Information Object),0
PI_584046,0.002999999999929,SF_751459,fe80::212:7441:41:4141,fe80::212:7418:18:1818,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_841165,0.0009999999999763,SF_938917,fe80::212:7453:53:5353,fe80::212:741c:1c:1c1c,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_264562,0.0090000000000145,SF_187957,fe80::212:742d:2d:2d2d,fe80::212:741a:1a:1a1a,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_827402,0.0080000000000381,SF_149647,fe80::212:7405:5:505,fe80::212:7434:34:3434,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_630901,0.0080000000000381,SF_221638,fe80::212:7415:15:1515,fe80::212:7449:49:4949,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_965990,0.0060000000000854,SF_590167,fe80::212:7445:45:4545,fe80::212:7441:41:4141,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_852913,0.0049999999999954,SF_832382,fe80::212:7441:41:4141,ff02::1a,ICMPv6,97,RPL Control (DODAG Information Object),0
PI_871122,0.07000000000005,SF_269559,fe80::212:7408:8:808,fe80::212:740b:b:b0b,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_815879,0.33299999999997,SF_159090,fe80::212:7441:41:4141,fe80::212:7401:1:101,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_613622,0.3780000000001564,SF_433060,fe80::212:741d:1d:1d1d,fe80::212:7401:1:101,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_424332,0.7230000000001837,SF_226170,fe80::212:7411:11:1111,fe80::212:742f:2f:2f2f,ICMPv6,102,RPL Control (DODAG Information Object),0
PI_641797,0.0010000000000047,SF_424857,fe80::212:740d:d:d0d,fe80::212:743f:3f:3f3f,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_265421,0.0009999999999763,SF_976223,fe80::212:7416:16:1616,fe80::212:7417:17:1717,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_661419,0.0009999999999763,SF_824945,fe80::212:7408:8:808,fe80::212:743b:3b:3b3b,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_152446,0.0049999999999954,SF_126515,fe80::212:743e:3e:3e3e,fe80::212:7438:38:3838,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_973272,0.0009999999999905,SF_765918,fe80::212:7451:51:5151,fe80::212:7432:32:3232,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_726549,0.004000000000019,SF_416256,fe80::212:7432:32:3232,fe80::212:743d:3d:3d3d,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_953816,0.004000000000019,SF_370153,fe80::212:740b:b:b0b,fe80::212:7405:5:505,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_168582,0.0079999999998108,SF_904342,fe80::212:7452:52:5252,ff02::1a,ICMPv6,97,RPL Control (DODAG Information Object),0
PI_365808,0.0049999999998817,SF_739763,fe80::212:7451:51:5151,fe80::212:7422:22:2222,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_371479,0.8830000000000382,SF_457479,2002:db8::212:7444:44:4444,2002:db8::ff:fe00:1,UDP,68,Source port: ultraseek-http  Destination port: rrac,0
PI_563539,0.0090000000000145,SF_476276,fe80::212:744d:4d:4d4d,fe80::212:7435:35:3535,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_533595,0.0070000000000618,SF_719405,fe80::212:7423:23:2323,fe80::212:7403:3:303,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_678110,0.0059999999999718,SF_357157,fe80::212:7413:13:1313,fe80::212:7432:32:3232,ICMPv6,102,RPL Control (DODAG Information Object),1
PI_100515,0.4199999999998454,SF_679649,2002:db8::212:7404:4:404,2002:db8::ff:fe00:1,UDP,68,Source port: ultraseek-http  Destination port: rrac,1
PI_513461,0.3310000000000173,SF_489665,fe80::212:7410:10:1010,fe80::212:740c:c:c0c,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_186590,0.0019999999999527,SF_451671,fe80::212:7409:9:909,fe80::212:743a:3a:3a3a,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_728177,0.0059999999998581,SF_956371,fe80::212:7413:13:1313,fe80::212:743a:3a:3a3a,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_637732,0.0009999999999763,SF_310128,fe80::212:7453:53:5353,fe80::212:743d:3d:3d3d,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_620140,0.6610000000000582,SF_467112,fe80::212:7422:22:2222,fe80::212:742f:2f:2f2f,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_242412,0.0009999999999763,SF_687283,fe80::212:741c:1c:1c1c,fe80::212:7425:25:2525,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_730167,0.0070000000000618,SF_834474,fe80::212:7425:25:2525,ff02::1a,ICMPv6,97,RPL Control (DODAG Information Object),0
PI_773812,0.3629999999999427,SF_815030,fe80::212:7407:7:707,fe80::212:7418:18:1818,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_215598,0.0020000000000095,SF_584365,fe80::212:7437:37:3737,fe80::212:743a:3a:3a3a,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_653006,0.0010000000000331,SF_865064,fe80::212:7404:4:404,fe80::212:7448:48:4848,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_537991,0.0090000000000145,SF_100638,2002:db8::212:741b:1b:1b1b,2002:db8::ff:fe00:1,UDP,77,Source port: ultraseek-http  Destination port: rrac,0
PI_199003,0.0030000000000427,SF_358432,fe80::212:741b:1b:1b1b,fe80::212:743b:3b:3b3b,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_632954,0.0,SF_230112,fe80::212:7444:44:4444,fe80::212:7424:24:2424,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_303141,0.0010000000000047,SF_204820,fe80::212:7404:4:404,fe80::212:7448:48:4848,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_859161,0.0010000000000047,SF_286773,fe80::212:741a:1a:1a1a,fe80::212:7455:55:5555,ICMPv6,76,RPL Control (Destination Advertisement Object),0
